gene_name	se_id	transcript_id	ensembl_gene_id	chr	start	end	strand	tss	gene_type	gene_status	reads_2i_1	reads_2i_2	reads_ser_1	reads_ser_2	reads_sahlen	score_2i	score_ser	score_sahlen	rpkm_2i	rpkm_ser	rpkm_episc	reads_ser	in.joshi	in.sahlen	in.dowen	in.novo
1700031A10Rik	7794	ENSMUST00000174380	ENSMUSG00000092239	chr17	37058237	37063237	+	37060737	processed_transcript	NOVEL	1	6	10	6	0	6.73	14.74	0				7.74596669241483	1	0	0	0
1700042O10Rik	5340																						0	0	0	1
1700049J03Rik	7728	ENSMUST00000011196	ENSMUSG00000011052	chr17	26695941	26700941	-	26698441	processed_transcript	NOVEL	4	2	11	4	7	0	6.4	8.29				6.6332495807108	1	1	0	0
1700063H04Rik	3342	ENSMUST00000043553	ENSMUSG00000040657	chr6	122338897	122343897	+	122341397	protein_coding	KNOWN	4	8	4	11	11	7.42	9.54	5.23				6.6332495807108	1	1	0	1
1700081L11Rik	5752	ENSMUST00000106971	ENSMUSG00000018412	chr11	104300516	104305516	-	104303016	protein_coding	NOVEL	11	17	11	16	13	28.68	22.8	10.7				13.2664991614216	1	1	0	0
1810013D10Rik	2510	ENSMUST00000121042	ENSMUSG00000061461	chr5	53655845	53660845	+	53658345	protein_coding	KNOWN	1	0	0	0	5	0	0	8.06	26.3	14.1	19	0	0	1	0	0
1810013L24Rik	7359	ENSMUST00000023150	ENSMUSG00000022507	chr16	8827693	8832693	+	8830193	protein_coding	KNOWN	1	9	5	13	8	4.38	11.1	0	21.6	18.8	18.5	8.06225774829855	1	0	0	0
1810032O08Rik	5819	ENSMUST00000139934	ENSMUSG00000020812	chr11	116530474	116535474	+	116532974	protein_coding	NOVEL	2	1	3	3	6	0	3.11	6.27				3	0	1	0	0
1810058N05Rik	2268	ENSMUST00000135358	ENSMUSG00000087476	chr4	137260021	137265021	-	137262521	processed_transcript	KNOWN	5	9	11	9	0	4.76	10.33	0				9.9498743710662	1	0	0	0
2010001M06Rik	2830	ENSMUST00000154060	ENSMUSG00000085042	chr5	135486524	135491524	-	135489024	processed_transcript	KNOWN	3	10	4	4	9	4.89	0	5.39	11.3	7.9	9	4	0	1	0	0
2010012P19Rik	5565	ENSMUST00000144033	ENSMUSG00000085890	chr11	69493140	69498140	+	69495640	processed_transcript	KNOWN	8	14	12	15	20	10.29	11.86	5				13.4164078649987	1	1	0	0
2210411M09Rik	610	ENSMUST00000128545	ENSMUSG00000085563	chr1	182885780	182890780	-	182888280	lincRNA	NOVEL	2	11	9	14	0	3.75	7.84	0				11.2249721603218	1	0	0	0
2210411M09Rik	611	ENSMUST00000128545	ENSMUSG00000085563	chr1	182885780	182890780	-	182888280	lincRNA	NOVEL	3	6	6	10	0	3.06	7.55	0				7.74596669241483	1	0	0	0
2310004I24Rik	5553	ENSMUST00000136013	ENSMUSG00000020910	chr11	66851529	66856529	-	66854029	protein_coding	KNOWN	2	5	6	11	0	0	5.69	0	17.1	15.2	23.6	8.12403840463596	1	0	0	0
2310004I24Rik	5555	ENSMUST00000116363	ENSMUSG00000020910	chr11	66863572	66868572	-	66866072	protein_coding	KNOWN	7	6	11	16	24	0	6.74	3.08	17.1	15.2	23.6	13.2664991614216	1	0	0	0
2310014F06Rik	3765	ENSMUST00000146145	ENSMUSG00000085945	chr7	119821072	119826072	-	119823572	lincRNA	NOVEL	14	1	19	6	2	4.46	7.74	0				10.6770782520313	1	0	0	0
2310014L17Rik	3481	ENSMUST00000045870	ENSMUSG00000033967	chr7	13510265	13515265	+	13512765	protein_coding	KNOWN	1	0	3	1	5	0	0	5.53	0.5	1	0.8	1.73205080756888	0	1	0	0
2310044G17Rik	6118	ENSMUST00000038369	ENSMUSG00000034157	chr12	88285864	88290864	+	88288364	protein_coding	KNOWN	5	7	5	11	0	7.86	9.08	0	12.6	13.6	14.9	7.41619848709566	1	0	1	0
2410006H16Rik	5533	ENSMUST00000131787	ENSMUSG00000086841	chr11	62413879	62418879	+	62416379	lincRNA	KNOWN	7	11	7	12	3	6.97	8.82	3.87				9.16515138991168	1	0	0	0
2410024N13Rik	1658	ENSMUST00000090704	ENSMUSG00000054379	chr3	103000398	103005398	-	103002898	pseudogene	KNOWN	13	13	25	20	0	5.77	10.91	0				22.3606797749979	1	0	0	0
2410080I02Rik	8385	ENSMUST00000142712	ENSMUSG00000044387	chr19	23206890	23211890	+	23209390	processed_transcript	KNOWN	14	10	22	15	10	13.19	15.5	5.47				18.165902124585	1	1	0	0
2410137F16Rik	2736	ENSMUST00000126959	ENSMUSG00000086219	chr5	116886229	116891229	+	116888729	processed_transcript	KNOWN	2	4	4	8	7	0	6.16	6.45	7.6	0.7	0.4	5.65685424949238	1	1	1	1
2410137M14Rik	7792	ENSMUST00000173707	ENSMUSG00000064308	chr17	37115662	37120662	-	37118162	protein_coding	KNOWN	8	7	25	23	19	6.12	14.78	10.53	36.6	5.5	0	23.9791576165636	1	1	1	1
2410137M14Rik	7794	ENSMUST00000173707	ENSMUSG00000064308	chr17	37115662	37120662	-	37118162	protein_coding	KNOWN	2	1	9	3	0	0	8.54	0	36.6	5.5	0	5.19615242270663	1	0	0	0
2510039O18Rik	2317	ENSMUST00000103232	ENSMUSG00000044496	chr4	147312504	147317504	+	147315004	protein_coding	KNOWN	0	1	5	5	1	0	6.47	0				5	1	0	0	0
2610002J02Rik	2354	ENSMUST00000126803	ENSMUSG00000073684	chr4	154621411	154626411	+	154623911	protein_coding	KNOWN	1	5	7	7	0	0	6.94	0	13.4	9.7	20.2	7	1	0	0	0
2810008D09Rik	5819	ENSMUST00000145438	ENSMUSG00000086859	chr11	116935604	116940604	+	116938104	processed_transcript	NOVEL	48	80	74	80	70	8.49	9.69	0	217	38.5	21.1	76.9415362466854	1	0	0	0
2810403A07Rik	1607	ENSMUST00000029696	ENSMUSG00000028060	chr3	88487216	88492216	+	88489716	protein_coding	KNOWN	1	0	0	0	6	0	0	10.34	57.3	39.7	31.5	0	0	1	0	0
2810408A11Rik	5565	ENSMUST00000142121	ENSMUSG00000018570	chr11	69710649	69715649	-	69713149	protein_coding	KNOWN	0	2	1	1	10	0	0	5.42	3.1	2.1	5.6	1	0	1	0	1
2900073G15Rik	7886	ENSMUST00000128179	ENSMUSG00000024048	chr17	71348857	71353857	-	71351357	protein_coding	KNOWN	0	0	0	1	5	0	0	5.28	35	92.3	114.7	0	0	1	0	0
3230401D17Rik	1257	ENSMUST00000127038	ENSMUSG00000035399	chr2	163240332	163245332	-	163242832	protein_coding	NOVEL	2	4	1	3	5	4.22	0	7.69	0.7	1	1.1	1.73205080756888	0	1	0	0
4833407H14Rik	8519	ENSMUST00000165226	ENSMUSG00000090800	chr19	53532621	53537621	+	53535121	lincRNA	KNOWN	20	17	17	26	0	4.96	8.27	0				21.0237960416286	1	0	0	0
4921507G05Rik	6186	ENSMUST00000166720	ENSMUSG00000091769	chr12	112076739	112081739	+	112079239	lincRNA	KNOWN	5	2	6	5	0	4.14	11.02	0				5.47722557505166	1	0	0	0
4921507G05Rik	6188	ENSMUST00000166720	ENSMUSG00000091769	chr12	112076739	112081739	+	112079239	lincRNA	KNOWN	3	6	0	5	8	6.48	0	12.09				0	0	1	0	0
4930443B20Rik	5533	ENSMUST00000128647	ENSMUSG00000085762	chr11	62416768	62421768	+	62419268	processed_transcript	KNOWN	0	8	6	8	9	4.93	6.34	4.98				6.92820323027551	1	0	0	0
4930444M15Rik	6904	ENSMUST00000148377	ENSMUSG00000085974	chr14	76918162	76923162	-	76920662	lincRNA	KNOWN	7	17	22	24	23	9.11	16.42	4.22				22.9782505861521	1	0	0	0
4930444M15Rik	6906	ENSMUST00000148377	ENSMUSG00000085974	chr14	76918162	76923162	-	76920662	lincRNA	KNOWN	3	2	3	9	0	0	9.65	0				5.19615242270663	1	0	0	0
4930449E01Rik	6982	ENSMUST00000022711	ENSMUSG00000022116	chr14	105895505	105900505	+	105898005	protein_coding	KNOWN	5	3	6	11	2	4.18	14.75	0				8.12403840463596	1	0	0	1
4930455G09Rik	2295	ENSMUST00000126231	ENSMUSG00000085761	chr4	141571313	141576313	+	141573813	processed_transcript	PUTATIVE	10	8	10	9	0	8.68	10.28	0				9.48683298050514	1	0	0	1
4930461G14Rik	4555	ENSMUST00000141912	ENSMUSG00000086516	chr9	58300480	58305480	+	58302980	lincRNA	KNOWN	0	7	2	0	8	4.17	0	8.65				0	0	1	0	0
4930519A11Rik	5875	ENSMUST00000170446	ENSMUSG00000091841	chr12	12907026	12912026	+	12909526	lincRNA	KNOWN	7	5	8	6	0	9.46	10.54	0				6.92820323027551	1	0	0	0
4930520K10Rik	4954	ENSMUST00000143103	ENSMUSG00000038491	chr10	40067409	40072409	-	40069909	processed_transcript	KNOWN	5	6	9	6	6	6.36	7.85	4.11				7.34846922834954	1	0	0	0
4930542C12Rik	4657	ENSMUST00000171096	ENSMUSG00000090724	chr9	78241465	78246465	-	78243965	protein_coding	KNOWN	11	10	17	5	17	11.74	11.89	8.07				9.21954445729289	1	1	0	0
4930562A09Rik	2736	ENSMUST00000153818	ENSMUSG00000086945	chr5	116840309	116845309	-	116842809	processed_transcript	KNOWN	17	6	28	3	0	3.76	5.42	0				9.16515138991168	1	0	0	0
4930593C16Rik	4797	ENSMUST00000140589	ENSMUSG00000086365	chr9	120837420	120842420	-	120839920	processed_transcript	NOVEL	3	5	3	9	4	3.41	6.55	3.78				5.19615242270663	1	0	0	0
4933415F23Rik	8148	ENSMUST00000073179	ENSMUSG00000073730	chr1	23106592	23111592	-	23109092	protein_coding	KNOWN	1	1	9	5	0	0	42.72	0	0	0	0	6.70820393249937	1	0	0	0
4933428G20Rik	5711	ENSMUST00000056955	ENSMUSG00000047988	chr11	97359154	97364154	-	97361654	protein_coding	NOVEL	10	2	14	11	5	0	5.57	3.17				12.4096736459909	1	0	0	0
5031425F14Rik	1279	ENSMUST00000127920	ENSMUSG00000085129	chr2	166270451	166275451	+	166272951	processed_transcript	NOVEL	2	2	4	8	0	0	8.8	0	0	0	0	5.65685424949238	1	0	0	0
5330438I03Rik	556	ENSMUST00000168347	ENSMUSG00000091393	chr1	168237216	168242216	-	168239716	protein_coding	KNOWN	0	1	1	0	6	0	0	5.26				0	0	1	0	0
5730419I09Rik	3437	ENSMUST00000070301	ENSMUSG00000030279	chr6	143024671	143029671	-	143027171	protein_coding	KNOWN	4	5	7	10	0	3.75	24.16	0	18.1	14.4	10.5	34.4673758792282	1	0	0	1
5830416P10Rik	8519	ENSMUST00000099340	ENSMUSG00000074788	chr19	53519304	53524304	-	53521804	lincRNA	KNOWN	11	9	16	23	0	5.04	11.27	0	0.4	0.2	0	25.4558441227157	1	0	1	0
5S_rRNA	368	ENSMUST00000158976	ENSMUSG00000089601	chr1	120532481	120537481	-	120534981	rRNA	NOVEL	18	13	17	11	0	11.84	6.9	0				13.6747943311773	1	0	0	0
5S_rRNA	556	ENSMUST00000157993	ENSMUSG00000088618	chr1	167713582	167718582	-	167716082	rRNA	NOVEL	0	0	1	0	6	0	0	7.41				0	0	1	0	0
5S_rRNA	7597	ENSMUST00000157624	ENSMUSG00000088249	chr16	84815842	84820842	+	84818342	rRNA	NOVEL	8	10	15	9	0	11.09	18.59	0				11.6189500386223	1	0	0	0
6330403N20Rik	3662	ENSMUST00000167046	ENSMUSG00000090517	chr7	87442002	87447002	-	87444502	lincRNA	KNOWN	4	7	6	6	0	6.54	5.74	0				6	1	0	0	0
6330545A04Rik	2291	ENSMUST00000097813	ENSMUSG00000073733	chr4	140767371	140772371	+	140769871	protein_coding	KNOWN	2	4	3	10	0	0	6.13	0	0.8	1.5	0.6	5.47722557505166	1	0	0	0
6330549D23Rik	1629	ENSMUST00000059190	ENSMUSG00000045327	chr3	96431242	96436242	-	96433742	lincRNA	KNOWN	4	5	7	8	13	3.62	5.13	9.18	1.6	2	2.6	7.48331477354788	1	1	0	0
6330549D23Rik	1630	ENSMUST00000059190	ENSMUSG00000045327	chr3	96431242	96436242	-	96433742	lincRNA	KNOWN	5	6	7	4	0	6.88	5.79	0	1.6	2	2.6	5.29150262212918	1	0	0	0
6430527G18Rik	6118	ENSMUST00000038422	ENSMUSG00000034168	chr12	88223264	88228264	-	88225764	protein_coding	KNOWN	13	8	9	6	10	9.98	5.25	3.38				7.34846922834954	1	0	1	1
6430573F11Rik	4034	ENSMUST00000171777	ENSMUSG00000039620	chr8	37549745	37554745	+	37552245	protein_coding	KNOWN	0	0	0	0	5	0	0	8.46	0.8	0.8	2.8	0	0	1	0	0
7SK	1658	ENSMUST00000158438	ENSMUSG00000089063	chr3	103181154	103186154	-	103183654	misc_RNA	NOVEL	2	6	6	5	0	5.66	7.7	0				5.47722557505166	1	0	0	0
7SK	4657	ENSMUST00000083103	ENSMUSG00000065037	chr9	78020940	78025940	-	78023440	misc_RNA	KNOWN	0	0	0	1	5	0	0	8.3				0	0	1	0	0
7SK	5044	ENSMUST00000158049	ENSMUSG00000088674	chr10	62379807	62384807	+	62382307	misc_RNA	NOVEL	2	4	9	14	8	0	7.81	4.8				11.2249721603218	1	0	0	0
7SK	5819	ENSMUST00000158718	ENSMUSG00000089343	chr11	116991304	116996304	+	116993804	misc_RNA	NOVEL	3	21	7	27	0	3.79	9.55	0				13.7477270848675	1	0	0	0
7SK	7792	ENSMUST00000158194	ENSMUSG00000088819	chr17	37149788	37154788	+	37152288	misc_RNA	NOVEL	3	8	9	12	15	6.53	8.92	8.96				10.3923048454133	1	1	0	0
7SK	7794	ENSMUST00000158194	ENSMUSG00000088819	chr17	37149788	37154788	+	37152288	misc_RNA	NOVEL	6	2	7	4	0	4.71	6.97	0				5.29150262212918	1	0	0	0
9130409J20Rik	5553	ENSMUST00000150220	ENSMUSG00000085683	chr11	66767655	66772655	+	66770155	processed_transcript	KNOWN	3	6	11	4	0	3.58	6.88	0				6.6332495807108	1	0	0	0
9530068E07Rik	5484	ENSMUST00000109057	ENSMUSG00000036275	chr11	52207430	52212430	+	52209930	protein_coding	KNOWN	3	6	10	15	0	0	9.53	0	18	18	39	12.2474487139159	1	0	0	0
9630014M24Rik	8140	ENSMUST00000097595	ENSMUSG00000073576	chr18	38758688	38763688	+	38761188	protein_coding	KNOWN	15	10	24	12	14	3.58	11.37	5.51				16.9705627484771	1	1	0	0
9930013L23Rik	3685																						0	0	0	1
A430010J10Rik	3130	ENSMUST00000169018	ENSMUSG00000091724	chr6	67063167	67068167	+	67065667	lincRNA	KNOWN	35	52	31	25	0	12.97	8.62	0				27.8388218141501	1	0	0	0
A730085A09Rik	2076	ENSMUST00000133455	ENSMUSG00000085843	chr4	98457959	98462959	+	98460459	processed_transcript	KNOWN	5	9	9	6	0	6.9	7.44	0				7.34846922834954	1	0	0	0
A930001N09Rik	7728																						0	0	0	1
A930011O12Rik	6864	ENSMUST00000164162	ENSMUSG00000091456	chr14	65206162	65211162	+	65208662	lincRNA	KNOWN	1	4	8	4	0	0	5.24	0				5.65685424949238	1	0	0	0
A930024E05Rik	2770	ENSMUST00000148466	ENSMUSG00000056735	chr5	123436863	123441863	+	123439363	lincRNA	KNOWN	0	3	1	1	7	0	0	6.7				1	0	1	0	0
AC102525.1	3947	ENSMUST00000174915	ENSMUSG00000092656	chr8	12393903	12398903	+	12396403	miRNA	NOVEL	7	17	9	13	12	13.9	14.81	11.12				10.816653826392	1	1	0	0
AC113316.1	8148	ENSMUST00000175336	ENSMUSG00000093077	chr5	147070079	147075079	+	147072579	miRNA	KNOWN	9	17	15	20	0	65.34	90.38	0				17.3205080756888	1	0	0	0
AC120136.1	230	ENSMUST00000175370	ENSMUSG00000093111	chr1	72288287	72293287	+	72290787	snRNA	NOVEL	5	6	13	8	0	6.66	12.09	0				10.1980390271856	1	0	0	0
AC120136.2	230	ENSMUST00000175506	ENSMUSG00000093247	chr1	72281020	72286020	+	72283520	snRNA	KNOWN	13	5	19	8	0	3.73	5.52	0				12.328828005938	1	0	0	0
AC120136.3	230	ENSMUST00000175592	ENSMUSG00000093333	chr1	72299082	72304082	+	72301582	snRNA	NOVEL	2	6	7	7	2	3.46	6.63	0				7	1	0	0	0
AC122043.1	2535																						0	0	0	1
AC122252.1	7728	ENSMUST00000175234	ENSMUSG00000092975	chr17	26715372	26720372	-	26717872	miRNA	NOVEL	3	6	7	4	7	5.99	6.56	5.61				5.29150262212918	1	1	0	1
AC123616.1	4014	ENSMUST00000174908	ENSMUSG00000092649	chr8	35001912	35006912	-	35004412	misc_RNA	NOVEL	8	16	6	15	0	9.75	6.27	0				9.48683298050514	1	0	0	0
AC123882.1	282	ENSMUST00000175513	ENSMUSG00000093254	chr1	84689914	84694914	+	84692414	miRNA	KNOWN	5	10	13	6	2	10.52	15.96	0				8.83176086632785	1	0	0	0
AC125186.1	464	ENSMUST00000175171	ENSMUSG00000092912	chr1	138591451	138596451	+	138593951	snRNA	NOVEL	31	21	28	25	39	8.04	8.08	3.26				26.4575131106459	1	0	0	1
AC125186.1	466	ENSMUST00000175171	ENSMUSG00000092912	chr1	138591451	138596451	+	138593951	snRNA	NOVEL	3	2	1	1	5	0	0	7.12				1	0	1	0	0
AC125186.2	466	ENSMUST00000175403	ENSMUSG00000093144	chr1	138651686	138656686	-	138654186	miRNA	NOVEL	0	1	0	2	5	0	0	5.81				0	0	1	0	0
AC127354.1	3437	ENSMUST00000175628	ENSMUSG00000093369	chr6	143087884	143092884	-	143090384	misc_RNA	NOVEL	47	13	26	6	0	25.08	14.27	0				12.4899959967968	1	0	0	0
AC134382.1	5091	ENSMUST00000174999	ENSMUSG00000092740	chr10	75412477	75417477	+	75414977	miRNA	NOVEL	13	15	14	16	9	14.62	16.55	5.83				14.9666295470958	1	1	0	1
AC134576.1	8136	ENSMUST00000175045	ENSMUSG00000092786	chr18	38625087	38630087	-	38627587	miRNA	NOVEL	3	4	3	11	0	0	5.03	0				5.74456264653803	1	0	0	0
AC134898.1	6864	ENSMUST00000175231	ENSMUSG00000092972	chr14	65207522	65212522	+	65210022	miRNA	KNOWN	1	4	8	4	0	0	5.24	0				5.65685424949238	1	0	0	0
AC139378.1	4748	ENSMUST00000175600	ENSMUSG00000093341	chr9	110825407	110830407	+	110827907	miRNA	NOVEL	4	2	5	5	15	0	0	5.22				5	0	1	0	0
AC140340.1	6982	ENSMUST00000174923	ENSMUSG00000092664	chr14	106213625	106218625	+	106216125	miRNA	NOVEL	2	10	12	5	4	3.07	8.22	0				7.74596669241483	1	0	0	0
AC149593.1	3914	ENSMUST00000175030	ENSMUSG00000092771	chr7	151974633	151979633	+	151977133	misc_RNA	NOVEL	5	9	9	17	0	4.37	8.94	0				12.369316876853	1	0	0	0
AC151602.1	3568	ENSMUST00000102082	ENSMUSG00000076036	chr7	52711067	52716067	-	52713567	miRNA	NOVEL	1	4	3	5	12	0	3.52	12.96				3.87298334620742	0	1	0	0
AC154187.1	7887	ENSMUST00000175087	ENSMUSG00000092828	chr17	71304879	71309879	+	71307379	miRNA	NOVEL	0	5	5	5	0	4.28	6.65	0				5	1	0	0	0
AC156026.1	7359	ENSMUST00000175309	ENSMUSG00000093050	chr16	8735914	8740914	+	8738414	miRNA	NOVEL	12	9	10	12	5	5.64	8.69	3.04				10.9544511501033	1	0	0	1
AC160109.1	6557	ENSMUST00000116887	ENSMUSG00000080537	chr13	98059474	98064474	+	98061974	miRNA	NOVEL	80	35	63	21	0	20.11	16.09	0				36.3730669589464	1	0	0	1
AC160109.1	6559	ENSMUST00000116887	ENSMUSG00000080537	chr13	98059474	98064474	+	98061974	miRNA	NOVEL	9	5	6	16	0	5.15	11.4	0				9.79795897113271	1	0	0	0
AC164075.1	3662	ENSMUST00000157729	ENSMUSG00000088354	chr7	87295265	87300265	-	87297765	miRNA	NOVEL	3	9	9	6	0	5.47	6.97	0				7.34846922834954	1	0	0	1
AC166574.2	6789	ENSMUST00000175463	ENSMUSG00000093204	chr14	49313263	49318263	-	49315763	snRNA	NOVEL	15	11	18	9	0	10.06	8.96	0				12.7279220613579	1	0	0	0
AI428936	3525	ENSMUST00000054594	ENSMUSG00000019737	chr7	31097335	31102335	+	31099835	protein_coding	KNOWN	5	3	2	1	7	5.91	3.35	12.71	16.2	7.3	7.5	1.4142135623731	0	1	0	0
AI480526	2770	ENSMUST00000159072	ENSMUSG00000090086	chr5	123585618	123590618	-	123588118	processed_transcript	NOVEL	49	27	80	40	36	8.9	14.56	6.08				56.5685424949238	1	1	0	0
AI507597	2292																						0	0	1	0
AI646023	5091	ENSMUST00000051129	ENSMUSG00000046807	chr10	75020575	75025575	-	75023075	protein_coding	KNOWN	4	2	7	5	0	0	7.57	0	0.1	0.1	0.1	5.91607978309962	1	0	0	0
AL591584.1	1256	ENSMUST00000175050	ENSMUSG00000092791	chr2	162916135	162921135	+	162918635	miRNA	NOVEL	13	5	5	9	0	10.27	6.51	0				6.70820393249937	1	0	0	0
AL591584.1	1257	ENSMUST00000175050	ENSMUSG00000092791	chr2	162916135	162921135	+	162918635	miRNA	NOVEL	14	15	13	19	9	14.8	8.69	4.37				15.7162336455017	1	0	0	0
AL593843.1	5752	ENSMUST00000104637	ENSMUSG00000077827	chr11	104142834	104147834	+	104145334	miRNA	NOVEL	29	39	50	39	0	10.76	8.42	0				44.1588043316392	1	0	0	1
AL596123.1	5711																						0	0	0	1
AL627205.1	5819	ENSMUST00000175342	ENSMUSG00000093083	chr11	116944650	116949650	+	116947150	miRNA	NOVEL	33	52	47	52	0	5.85	10.54	0				49.4368283772331	1	0	0	1
AL731857.1	1198	ENSMUST00000175565	ENSMUSG00000093306	chr2	152596125	152601125	-	152598625	miRNA	NOVEL	2	0	3	0	7	0	0	5.19				0	0	1	0	0
AL844882.1	1300	ENSMUST00000175060	ENSMUSG00000092801	chr2	168673012	168678012	+	168675512	miRNA	NOVEL	7	15	7	16	3	17.53	14.83	3.32				10.5830052442584	1	0	0	0
AU018091	3467	ENSMUST00000163910	ENSMUSG00000054753	chr7	3162002	3167002	-	3164502	protein_coding	KNOWN	37	24	40	35	0	13.5	19.63	0	61.9	85.4	0.3	37.4165738677394	1	0	0	0
Aars2	7812	ENSMUST00000024733	ENSMUSG00000023938	chr17	45641290	45646290	+	45643790	protein_coding	KNOWN	3	3	9	8	0	0	5.93	0	10.1	8.7	5.1	8.48528137423857	1	0	0	0
Abca7	5111	ENSMUST00000132517	ENSMUSG00000035722	chr10	79456739	79461739	+	79459239	protein_coding	KNOWN	2	5	3	12	7	3.72	6.37	6.02	8.3	2.2	2.6	6	1	1	0	1
Abhd11	2830	ENSMUST00000111216	ENSMUSG00000040532	chr5	135482522	135487522	+	135485022	protein_coding	KNOWN	1	4	1	2	9	3.11	0	5.39	34.9	23.7	13.3	1.4142135623731	0	1	0	0
Adam8	3890	ENSMUST00000173209	ENSMUSG00000025473	chr7	147175907	147180907	-	147178407	protein_coding	KNOWN	3	6	5	12	5	0	6.22	0	0.5	1.7	1.3	7.74596669241483	1	0	0	0
Adamtsl4	1626	ENSMUST00000151054	ENSMUSG00000015850	chr3	95478574	95483574	-	95481074	protein_coding	KNOWN	21	23	16	16	32	14.63	7.7	13.46	0.5	0.9	0.1	16	1	1	0	0
Aggf1	6544	ENSMUST00000161671	ENSMUSG00000021681	chr13	96142789	96147789	-	96145289	protein_coding	KNOWN	5	7	7	3	12	6.88	5.36	7.04	18.3	30.8	25.7	4.58257569495584	0	1	0	0
Agtrap	2317	ENSMUST00000152323	ENSMUSG00000029007	chr4	147456385	147461385	-	147458885	protein_coding	KNOWN	20	40	37	29	28	5.78	6.83	4.88	25.9	23.3	10.1	32.7566787083184	1	0	0	1
Ahi1	4885	ENSMUST00000163505	ENSMUSG00000019986	chr10	20758126	20763126	+	20760626	protein_coding	KNOWN	7	4	8	8	0	3.41	5.07	0	3.9	2.7	5	8	1	0	0	0
Aicda	3342	ENSMUST00000043301	ENSMUSG00000040627	chr6	122501319	122506319	+	122503819	protein_coding	KNOWN	1	0	0	0	5	0	0	5.51	0	0.3	0.4	0	0	1	0	0
Aktip	4190	ENSMUST00000120426	ENSMUSG00000031667	chr8	93652550	93657550	-	93655050	protein_coding	KNOWN	0	4	1	2	7	0	0	7.68	19.4	20.4	22.7	1.4142135623731	0	1	0	0
